date,ticker,close
2018-01-12,GLE.PA,46.459999
2018-01-15,GLE.PA,46.360001
2018-01-16,GLE.PA,46.084999
2018-01-17,GLE.PA,45.285
2018-01-18,GLE.PA,45.130001
2018-01-19,GLE.PA,45.330002
2018-01-22,GLE.PA,46
2018-01-23,GLE.PA,46.110001
2018-01-24,GLE.PA,46
2018-01-25,GLE.PA,46.465
2018-01-26,GLE.PA,46.700001
2018-01-29,GLE.PA,47.200001
2018-01-30,GLE.PA,46.764999
2018-01-31,GLE.PA,46.855
2018-02-01,GLE.PA,46.645
2018-02-02,GLE.PA,45.924999
2018-02-05,GLE.PA,45.32
2018-02-06,GLE.PA,43.91
2018-02-07,GLE.PA,44.264999
2018-02-08,GLE.PA,45.130001
2018-02-09,GLE.PA,44.134998
2018-02-12,GLE.PA,44.525002
2018-02-13,GLE.PA,44.549999
2018-02-14,GLE.PA,45.599998
2018-02-15,GLE.PA,46.224998
2018-02-16,GLE.PA,46.52
2018-02-19,GLE.PA,46.459999
2018-02-20,GLE.PA,46.255001
2018-02-21,GLE.PA,46.404999
2018-02-22,GLE.PA,46.68
2018-02-23,GLE.PA,46.535
2018-02-26,GLE.PA,46.375
2018-02-27,GLE.PA,46.875
2018-02-28,GLE.PA,47.119999
2018-03-01,GLE.PA,46.580002
2018-03-02,GLE.PA,45.189999
2018-03-05,GLE.PA,45.09
2018-03-06,GLE.PA,45.720001
2018-03-07,GLE.PA,45.93
2018-03-08,GLE.PA,46.150002
2018-03-09,GLE.PA,45.970001
2018-03-12,GLE.PA,46.060001
2018-03-13,GLE.PA,45.645
2018-03-14,GLE.PA,45.064999
2018-03-15,GLE.PA,44.764999
2018-03-16,GLE.PA,45.185001
2018-03-19,GLE.PA,45.580002
2018-03-20,GLE.PA,45.459999
2018-03-21,GLE.PA,45.095001
2018-03-22,GLE.PA,44.105
2018-03-23,GLE.PA,43.549999
2018-03-26,GLE.PA,43.259998
2018-03-27,GLE.PA,43.860001
2018-03-28,GLE.PA,43.939999
2018-03-29,GLE.PA,44.16
2018-04-03,GLE.PA,43.740002
2018-04-04,GLE.PA,43.424999
2018-04-05,GLE.PA,44.630001
2018-04-06,GLE.PA,44.52
2018-04-09,GLE.PA,44.25
2018-04-10,GLE.PA,44.205002
2018-04-11,GLE.PA,43.93
2018-04-12,GLE.PA,44.215
2018-04-13,GLE.PA,44.240002
2018-04-16,GLE.PA,44.43
2018-04-17,GLE.PA,44.66
2018-04-18,GLE.PA,44.970001
2018-04-19,GLE.PA,45.264999
2018-04-20,GLE.PA,45.595001
2018-04-23,GLE.PA,46
2018-04-24,GLE.PA,45.805
2018-04-25,GLE.PA,45.744999
2018-04-26,GLE.PA,45.540001
2018-04-27,GLE.PA,45.34
2018-04-30,GLE.PA,45.455002
2018-05-02,GLE.PA,45.415001
2018-05-03,GLE.PA,44.900002
2018-05-04,GLE.PA,42.580002
2018-05-07,GLE.PA,42.27
2018-05-08,GLE.PA,42.18
2018-05-09,GLE.PA,42.330002
2018-05-10,GLE.PA,42.544998
2018-05-11,GLE.PA,42.73
2018-05-14,GLE.PA,42.735001
2018-05-15,GLE.PA,42.654999
2018-05-16,GLE.PA,42.02
2018-05-17,GLE.PA,41.744999
2018-05-18,GLE.PA,41.535
2018-05-21,GLE.PA,41.400002
2018-05-22,GLE.PA,41.720001
2018-05-23,GLE.PA,41.23
2018-05-24,GLE.PA,41.029999
2018-05-25,GLE.PA,40.639999
2018-05-28,GLE.PA,40.334999
2018-05-29,GLE.PA,39.18
2018-05-30,GLE.PA,37.474998
2018-05-31,GLE.PA,36.855
2018-06-01,GLE.PA,37.529999
2018-06-04,GLE.PA,37.805
2018-06-05,GLE.PA,37.290001
2018-06-06,GLE.PA,37.205002
2018-06-07,GLE.PA,37.470001
2018-06-08,GLE.PA,37.23
2018-06-11,GLE.PA,37.82
2018-06-12,GLE.PA,38
2018-06-13,GLE.PA,37.525002
2018-06-14,GLE.PA,37.459999
2018-06-15,GLE.PA,36.915001
2018-06-18,GLE.PA,36.555
2018-06-19,GLE.PA,36.485001
2018-06-20,GLE.PA,36.330002
2018-06-21,GLE.PA,35.939999
2018-06-22,GLE.PA,36.220001
2018-06-25,GLE.PA,35.830002
2018-06-26,GLE.PA,35.799999
2018-06-27,GLE.PA,35.919998
